asin,date,cost_of_goods_sold,platform_fees,fulfillment_fees,storage_fees,payment_terms_days,currency_rate,carrying_cost_rate
B53LC58DR,2025-06-10 17:06:27.324910,35.61,7.28,4.94,2.38,45,1.0225,0.1269
BC11ERTJ5,2025-06-10 17:06:27.324910,54.85,10.7,30.35,1.98,45,1.0048,0.139
BPHT0HL9X,2025-06-10 17:06:27.324910,74.14,9.85,9.52,1.08,45,0.9937,0.1623
BPSEIMVIH,2025-06-10 17:06:27.324910,25.52,6.13,3.45,1.08,45,0.9892,0.1602
BCWI64CIY,2025-06-10 17:06:27.324910,24.59,5.92,3.94,2.38,14,1.0073,0.1743
BHE7UR23G,2025-06-10 17:06:27.324910,37.57,7.08,7.0,0.95,14,0.9836,0.1519
BDPPQ0Y9D,2025-06-10 17:06:27.324910,37.73,10.79,4.33,2.01,14,1.0104,0.1395
BOM5IGQPK,2025-06-10 17:06:27.324910,97.02,17.13,16.54,1.87,14,0.9865,0.1668
BI7P5TB94,2025-06-10 17:06:27.324910,56.71,7.69,5.17,1.7,14,0.989,0.1707
B874FRHOC,2025-06-10 17:06:27.324910,92.91,27.06,11.89,1.72,45,0.964,0.1282
BN9J2QP89,2025-06-10 17:06:27.324910,73.98,20.54,63.75,2.87,30,1.0177,0.1219
BUZFK8UT0,2025-06-10 17:06:27.324910,146.48,30.89,19.64,2.95,30,0.9971,0.1364
BCVS4F8CG,2025-06-10 17:06:27.324910,95.44,16.83,45.69,1.54,30,0.9783,0.1659
BVYIE6IVW,2025-06-10 17:06:27.324910,0.0,5.54,0.0,1.2,30,1.0019,0.1304
BPVS7HZIO,2025-06-10 17:06:27.324910,94.41,17.86,7.88,0.85,14,0.9505,0.1282
BYKL1CQ99,2025-06-10 17:06:27.324910,37.4,7.27,22.54,1.97,30,1.0038,0.1293
BCHJ755NF,2025-06-10 17:06:27.324910,0.0,5.34,0.0,1.12,45,1.016,0.1385
B4ZW9XA3K,2025-06-10 17:06:27.324910,23.52,6.64,6.24,2.28,45,0.9797,0.1223
BX7EEDTJV,2025-06-10 17:06:27.324910,30.88,8.97,6.51,2.98,14,0.9991,0.1664
BZHWJR64D,2025-06-10 17:06:27.324910,19.32,4.58,6.99,2.2,14,0.9886,0.1574
BPJA1WJ0T,2025-06-10 17:06:27.324910,15.77,2.57,4.29,0.86,45,1.0143,0.1289
BPAC56T4U,2025-06-10 17:06:27.324910,45.51,9.24,5.32,1.62,14,1.0179,0.1715
BFEL6246H,2025-06-10 17:06:27.324910,37.7,6.68,3.32,0.51,14,0.9962,0.1482
BID25OWF7,2025-06-10 17:06:27.324910,78.48,19.55,60.12,2.83,30,0.961,0.1401
B5935A0L7,2025-06-10 17:06:27.324910,38.52,12.4,2.84,2.79,14,0.9822,0.1496
B253J2D54,2025-06-10 17:06:27.324910,69.0,14.55,13.9,1.33,30,1.0081,0.1627
BI3QK2IAG,2025-06-10 17:06:27.324910,16.73,5.0,3.74,0.64,30,1.0045,0.14
BL58KXO9T,2025-06-10 17:06:27.324910,105.48,21.82,65.18,0.76,30,0.993,0.1708
B7E8G8JDP,2025-06-10 17:06:27.324910,112.54,21.23,4.6,2.05,45,0.9711,0.1298
B0LVSNUJZ,2025-06-10 17:06:27.324910,0.0,3.32,0.0,0.66,30,0.9599,0.1747
BA7TZ0YNC,2025-06-10 17:06:27.324910,41.64,10.11,3.65,1.32,14,1.0007,0.1368
BXLL4ZKLO,2025-06-10 17:06:27.324910,0.0,1.07,0.0,1.39,45,1.0245,0.1272
BOKEP7Y6W,2025-06-10 17:06:27.324910,72.52,18.31,10.81,1.36,45,1.001,0.1683
BKTAKPUXQ,2025-06-10 17:06:27.324910,93.99,14.52,6.85,0.94,14,0.9977,0.1371
BXAJI0Y6D,2025-06-11 17:06:27.324910,31.56,8.01,6.85,0.63,30,0.9994,0.1284
BPBHSAHXT,2025-06-11 17:06:27.324910,0.0,1.75,0.0,0.73,45,1.0036,0.151
BHV3A3ZMF,2025-06-11 17:06:27.324910,32.52,11.42,18.94,2.68,30,1.0034,0.1258
B8MDD4V30,2025-06-11 17:06:27.324910,0.0,3.19,0.0,0.93,45,0.9671,0.1321
BT9NT3W5U,2025-06-11 17:06:27.324910,112.45,25.41,22.68,1.51,14,0.9671,0.1348
BZBIKCIDK,2025-06-11 17:06:27.324910,46.25,14.45,6.23,1.16,30,0.9698,0.1524
BWNNHJ7XV,2025-06-11 17:06:27.324910,34.09,8.15,4.86,0.83,30,0.9673,0.1303
BG0FN9XUY,2025-06-11 17:06:27.324910,38.44,5.88,6.85,1.49,30,0.9924,0.1686
B41IBLJH7,2025-06-11 17:06:27.324910,48.98,9.71,10.9,1.98,30,0.9998,0.1579
B5LXO6QJI,2025-06-11 17:06:27.324910,20.96,5.51,2.38,1.93,14,1.0205,0.1247
BUJV6OH9S,2025-06-11 17:06:27.324910,0.0,4.52,0.0,1.76,14,0.9901,0.1261
BDBDW2PCN,2025-06-11 17:06:27.324910,155.05,22.96,29.33,2.2,30,0.999,0.1669
B9T84AZYT,2025-06-11 17:06:27.324910,51.46,10.42,10.34,2.07,30,1.0268,0.1501
BJXEPQ85J,2025-06-11 17:06:27.324910,0.0,5.74,0.0,2.4,45,0.9939,0.1273
BSG65KXVF,2025-06-11 17:06:27.324910,0.0,1.68,0.0,1.9,30,1.0086,0.1225
B1T2TALA7,2025-06-11 17:06:27.324910,16.82,6.21,2.11,1.84,30,1.0038,0.1201
B53LC58DR,2025-06-11 17:06:27.324910,41.6,13.72,13.83,0.86,30,1.0125,0.1682
BC11ERTJ5,2025-06-11 17:06:27.324910,43.05,5.98,3.03,1.47,45,1.0083,0.1358
BPHT0HL9X,2025-06-11 17:06:27.324910,0.0,2.42,0.0,1.89,30,1.0318,0.1679
BPSEIMVIH,2025-06-11 17:06:27.324910,46.08,9.34,5.73,1.44,14,0.9981,0.1288
BCWI64CIY,2025-06-11 17:06:27.324910,0.0,1.38,0.0,1.41,45,0.9651,0.1728
BHE7UR23G,2025-06-11 17:06:27.324910,81.04,28.3,28.84,0.92,45,1.0057,0.148
BDPPQ0Y9D,2025-06-11 17:06:27.324910,34.95,9.38,12.55,1.74,30,0.991,0.1455
BOM5IGQPK,2025-06-11 17:06:27.324910,164.52,53.21,35.13,1.7,30,0.9973,0.1369
BI7P5TB94,2025-06-11 17:06:27.324910,0.0,4.93,0.0,2.56,14,0.9617,0.1521
B874FRHOC,2025-06-11 17:06:27.324910,37.31,13.31,5.61,0.58,30,0.9935,0.151
BN9J2QP89,2025-06-11 17:06:27.324910,0.0,3.61,0.0,1.33,30,1.0046,0.1365
BUZFK8UT0,2025-06-11 17:06:27.324910,0.0,2.89,0.0,1.74,14,0.9972,0.1478
BCVS4F8CG,2025-06-11 17:06:27.324910,30.02,10.05,6.83,1.73,30,0.9719,0.1231
BVYIE6IVW,2025-06-11 17:06:27.324910,92.48,15.72,12.24,1.67,30,0.9834,0.1267
BPVS7HZIO,2025-06-11 17:06:27.324910,24.2,6.11,8.34,2.23,45,1.0215,0.1498
BYKL1CQ99,2025-06-11 17:06:27.324910,93.66,30.35,10.22,2.67,30,1.0195,0.1574
BCHJ755NF,2025-06-11 17:06:27.324910,55.7,9.43,13.39,2.23,30,1.0386,0.1399
B4ZW9XA3K,2025-06-11 17:06:27.324910,13.43,3.04,2.5,1.32,45,1.0052,0.1375
BX7EEDTJV,2025-06-11 17:06:27.324910,24.84,6.9,9.13,2.52,45,1.0114,0.1207
BZHWJR64D,2025-06-11 17:06:27.324910,0.0,2.93,0.0,2.05,45,1.006,0.1297
BPJA1WJ0T,2025-06-11 17:06:27.324910,69.8,14.86,4.18,2.05,14,1.0038,0.1486
BPAC56T4U,2025-06-11 17:06:27.324910,69.6,15.41,8.36,0.55,30,1.0115,0.1444
BFEL6246H,2025-06-11 17:06:27.324910,132.8,17.47,22.41,2.0,14,1.0243,0.1686
BID25OWF7,2025-06-11 17:06:27.324910,50.54,18.12,5.53,2.37,45,0.9873,0.1498
B5935A0L7,2025-06-11 17:06:27.324910,0.0,5.01,0.0,1.88,30,1.0065,0.161
B253J2D54,2025-06-11 17:06:27.324910,0.0,2.22,0.0,0.97,45,0.982,0.1506
BI3QK2IAG,2025-06-11 17:06:27.324910,29.44,7.82,3.2,0.88,45,1.016,0.1411
BL58KXO9T,2025-06-11 17:06:27.324910,53.82,10.22,9.08,2.08,45,0.992,0.1343
B7E8G8JDP,2025-06-11 17:06:27.324910,0.0,4.44,0.0,2.05,14,0.9729,0.1525
B0LVSNUJZ,2025-06-11 17:06:27.324910,172.04,32.33,40.53,1.03,45,0.9962,0.1689
BA7TZ0YNC,2025-06-11 17:06:27.324910,61.62,20.65,17.44,2.07,14,1.0147,0.1767
BXLL4ZKLO,2025-06-11 17:06:27.324910,66.64,13.64,8.01,2.25,45,0.996,0.1494
BOKEP7Y6W,2025-06-11 17:06:27.324910,38.39,7.3,3.06,1.0,30,1.0211,0.1348
BKTAKPUXQ,2025-06-11 17:06:27.324910,131.08,26.4,30.95,0.53,14,1.0273,0.1302
BXAJI0Y6D,2025-06-12 17:06:27.324910,37.25,8.69,6.14,1.06,14,0.9937,0.1544
BPBHSAHXT,2025-06-12 17:06:27.324910,46.02,9.21,6.33,2.64,14,1.0048,0.1716
BHV3A3ZMF,2025-06-12 17:06:27.324910,0.0,2.42,0.0,2.54,30,1.0046,0.1472
B8MDD4V30,2025-06-12 17:06:27.324910,33.9,14.92,5.17,2.97,45,0.9919,0.1257
BT9NT3W5U,2025-06-12 17:06:27.324910,103.6,20.42,24.72,0.99,30,1.0104,0.1371
BZBIKCIDK,2025-06-12 17:06:27.324910,0.0,0.91,0.0,0.74,30,1.0159,0.1284
BWNNHJ7XV,2025-06-12 17:06:27.324910,0.0,1.27,0.0,2.33,14,0.9762,0.1307
BG0FN9XUY,2025-06-12 17:06:27.324910,0.0,4.67,0.0,2.24,14,0.9869,0.122
B41IBLJH7,2025-06-12 17:06:27.324910,0.0,6.54,0.0,2.37,45,0.9454,0.1764
B5LXO6QJI,2025-06-12 17:06:27.324910,75.48,21.03,87.22,2.75,30,1.0047,0.1681
BUJV6OH9S,2025-06-12 17:06:27.324910,0.0,5.15,0.0,2.65,14,1.0049,0.1744
BDBDW2PCN,2025-06-12 17:06:27.324910,45.25,11.43,6.7,0.84,30,0.9896,0.1349
B9T84AZYT,2025-06-12 17:06:27.324910,19.8,4.24,4.31,0.51,30,1.0186,0.1564
BJXEPQ85J,2025-06-12 17:06:27.324910,19.92,4.59,4.3,2.88,30,1.0262,0.1775
BSG65KXVF,2025-06-12 17:06:27.324910,31.9,8.85,7.8,1.84,30,0.9944,0.1357
B1T2TALA7,2025-06-12 17:06:27.324910,16.99,7.01,7.41,0.74,45,1.0404,0.1774
B53LC58DR,2025-06-12 17:06:27.324910,65.24,11.25,21.06,2.3,30,1.0191,0.1409
BC11ERTJ5,2025-06-12 17:06:27.324910,48.1,12.08,6.66,2.5,30,0.977,0.1564
BPHT0HL9X,2025-06-12 17:06:27.324910,0.0,5.38,0.0,1.18,14,1.0077,0.1349
BPSEIMVIH,2025-06-12 17:06:27.324910,122.76,37.96,68.76,0.6,45,0.995,0.1232
BCWI64CIY,2025-06-12 17:06:27.324910,0.0,5.68,0.0,0.68,30,1.0269,0.1212
BHE7UR23G,2025-06-12 17:06:27.324910,48.19,8.64,4.65,1.92,14,1.0042,0.1649
BDPPQ0Y9D,2025-06-12 17:06:27.324910,0.0,6.27,0.0,0.91,45,1.0114,0.1402
BOM5IGQPK,2025-06-12 17:06:27.324910,16.38,3.94,3.76,1.79,30,0.9942,0.1758
BI7P5TB94,2025-06-12 17:06:27.324910,37.52,9.12,20.75,2.47,45,0.9814,0.153
B874FRHOC,2025-06-12 17:06:27.324910,88.35,19.79,30.16,1.84,14,0.9838,0.1226
BN9J2QP89,2025-06-12 17:06:27.324910,34.48,8.69,2.72,1.66,45,1.018,0.1429
BUZFK8UT0,2025-06-12 17:06:27.324910,132.09,21.58,9.04,2.5,45,0.9979,0.1597
BCVS4F8CG,2025-06-12 17:06:27.324910,130.72,34.43,25.96,0.65,14,0.988,0.1429
BVYIE6IVW,2025-06-12 17:06:27.324910,90.7,12.67,9.42,1.57,45,0.991,0.1222
BPVS7HZIO,2025-06-12 17:06:27.324910,40.07,7.45,4.26,2.76,45,0.9798,0.1533
BYKL1CQ99,2025-06-12 17:06:27.324910,62.34,11.89,6.71,0.65,14,1.0035,0.1374
BCHJ755NF,2025-06-12 17:06:27.324910,48.61,6.38,5.21,2.38,14,0.9983,0.1306
B4ZW9XA3K,2025-06-12 17:06:27.324910,107.08,34.73,8.68,1.22,45,1.0177,0.128
BX7EEDTJV,2025-06-12 17:06:27.324910,0.0,5.71,0.0,1.18,14,0.9885,0.1593
BZHWJR64D,2025-06-12 17:06:27.324910,0.0,4.38,0.0,1.51,30,0.977,0.1319
BPJA1WJ0T,2025-06-12 17:06:27.324910,39.87,6.01,4.92,1.88,30,0.9777,0.1332
BPAC56T4U,2025-06-12 17:06:27.324910,103.56,21.01,23.46,1.76,30,0.9907,0.1782
BFEL6246H,2025-06-12 17:06:27.324910,398.85,55.18,105.35,2.1,45,0.9788,0.125
BID25OWF7,2025-06-12 17:06:27.324910,79.89,14.55,12.04,0.65,14,1.018,0.1641
B5935A0L7,2025-06-12 17:06:27.324910,116.72,29.4,32.54,2.96,14,0.9932,0.1224
B253J2D54,2025-06-12 17:06:27.324910,62.16,21.14,12.87,1.94,30,1.0133,0.139
BI3QK2IAG,2025-06-12 17:06:27.324910,47.74,8.03,5.01,2.18,30,1.0104,0.1625
BL58KXO9T,2025-06-12 17:06:27.324910,0.0,3.98,0.0,1.51,45,1.0036,0.1721
B7E8G8JDP,2025-06-12 17:06:27.324910,45.91,17.91,2.36,2.63,30,1.005,0.1338
B0LVSNUJZ,2025-06-12 17:06:27.324910,0.0,1.57,0.0,2.01,14,1.0083,0.1415
BA7TZ0YNC,2025-06-12 17:06:27.324910,51.48,12.48,12.55,1.82,14,0.9879,0.173
BXLL4ZKLO,2025-06-12 17:06:27.324910,56.92,9.99,15.29,0.95,45,0.989,0.1211
BOKEP7Y6W,2025-06-12 17:06:27.324910,62.16,11.28,12.07,2.93,30,0.9865,0.1593
BKTAKPUXQ,2025-06-12 17:06:27.324910,26.88,10.01,8.5,2.59,45,1.0113,0.1217
BXAJI0Y6D,2025-06-13 17:06:27.324910,52.43,11.66,4.89,1.33,45,1.0126,0.1761
BPBHSAHXT,2025-06-13 17:06:27.324910,0.0,6.03,0.0,0.79,30,1.0059,0.1514
BHV3A3ZMF,2025-06-13 17:06:27.324910,198.28,25.83,31.02,1.46,30,1.0285,0.1587
B8MDD4V30,2025-06-13 17:06:27.324910,0.0,5.15,0.0,2.61,14,1.0154,0.1308
BT9NT3W5U,2025-06-13 17:06:27.324910,0.0,2.56,0.0,0.98,45,0.9956,0.1473
BZBIKCIDK,2025-06-13 17:06:27.324910,72.53,9.14,7.02,1.66,14,0.9976,0.1421
BWNNHJ7XV,2025-06-13 17:06:27.324910,124.24,45.61,23.84,1.08,14,0.9856,0.1459
BG0FN9XUY,2025-06-13 17:06:27.324910,79.22,14.36,3.72,0.96,45,0.993,0.1766
B41IBLJH7,2025-06-13 17:06:27.324910,67.26,17.21,3.18,0.86,45,1.0196,0.1663
B5LXO6QJI,2025-06-13 17:06:27.324910,18.67,7.59,4.22,2.91,14,1.0278,0.1677
BUJV6OH9S,2025-06-13 17:06:27.324910,0.0,3.12,0.0,0.98,14,0.9896,0.1261
BDBDW2PCN,2025-06-13 17:06:27.324910,83.25,25.49,8.0,1.12,30,1.0079,0.1477
B9T84AZYT,2025-06-13 17:06:27.324910,28.34,5.78,15.12,2.68,45,0.9968,0.122
BJXEPQ85J,2025-06-13 17:06:27.324910,31.62,10.92,5.53,1.45,30,1.005,0.1677
BSG65KXVF,2025-06-13 17:06:27.324910,0.0,2.13,0.0,2.44,14,0.9554,0.129
B1T2TALA7,2025-06-13 17:06:27.324910,60.21,10.72,3.56,2.31,30,0.9966,0.1352
B53LC58DR,2025-06-13 17:06:27.324910,57.72,12.63,5.48,2.03,30,1.0018,0.1338
BC11ERTJ5,2025-06-13 17:06:27.324910,0.0,2.96,0.0,0.51,30,1.0098,0.1783
BPHT0HL9X,2025-06-13 17:06:27.324910,208.45,44.62,34.72,2.07,14,1.001,0.1721
BPSEIMVIH,2025-06-13 17:06:27.324910,0.0,2.4,0.0,1.23,30,0.9909,0.1536
BCWI64CIY,2025-06-13 17:06:27.324910,0.0,2.69,0.0,2.88,14,0.9895,0.1346
BHE7UR23G,2025-06-13 17:06:27.324910,0.0,5.56,0.0,0.54,30,1.0169,0.1476
BDPPQ0Y9D,2025-06-13 17:06:27.324910,79.94,12.9,26.73,1.76,30,1.0014,0.1556
BOM5IGQPK,2025-06-13 17:06:27.324910,0.0,7.42,0.0,2.1,45,0.9906,0.1498
BI7P5TB94,2025-06-13 17:06:27.324910,118.88,24.73,26.34,0.76,30,1.0131,0.1248
B874FRHOC,2025-06-13 17:06:27.324910,108.21,17.81,19.04,2.68,45,1.0062,0.1392
BN9J2QP89,2025-06-13 17:06:27.324910,45.8,8.01,3.24,1.09,45,1.0346,0.1234
BUZFK8UT0,2025-06-13 17:06:27.324910,103.65,18.54,27.83,2.07,14,0.9876,0.1388
BCVS4F8CG,2025-06-13 17:06:27.324910,135.39,23.59,17.49,1.23,30,0.9886,0.1295
BVYIE6IVW,2025-06-13 17:06:27.324910,90.68,21.67,5.56,0.53,14,0.9761,0.1395
BPVS7HZIO,2025-06-13 17:06:27.324910,0.0,3.66,0.0,2.05,45,1.0142,0.1376
BYKL1CQ99,2025-06-13 17:06:27.324910,25.03,4.91,5.3,0.76,45,1.0062,0.1338
BCHJ755NF,2025-06-13 17:06:27.324910,0.0,8.92,0.0,0.73,14,1.0235,0.1536
B4ZW9XA3K,2025-06-13 17:06:27.324910,48.9,9.76,3.41,1.79,45,1.0248,0.1211
BX7EEDTJV,2025-06-13 17:06:27.324910,29.48,8.55,11.87,2.16,14,1.0005,0.1761
BZHWJR64D,2025-06-13 17:06:27.324910,78.56,15.57,12.51,2.33,14,0.9933,0.1252
BPJA1WJ0T,2025-06-13 17:06:27.324910,59.18,13.79,3.19,1.54,30,0.9894,0.1518
BPAC56T4U,2025-06-13 17:06:27.324910,56.98,11.23,3.91,2.03,45,1.0066,0.1209
BFEL6246H,2025-06-13 17:06:27.324910,27.75,5.17,2.58,1.26,45,0.9522,0.1727
BID25OWF7,2025-06-13 17:06:27.324910,0.0,6.25,0.0,0.94,14,0.9855,0.178
B5935A0L7,2025-06-13 17:06:27.324910,45.52,15.61,11.5,0.67,30,1.0212,0.1522
B253J2D54,2025-06-13 17:06:27.324910,31.66,8.36,15.47,0.71,14,0.9879,0.1753
BI3QK2IAG,2025-06-13 17:06:27.324910,28.59,5.81,3.87,1.35,30,0.9694,0.1487
BL58KXO9T,2025-06-13 17:06:27.324910,90.4,25.32,8.7,1.84,14,0.9879,0.1501
B7E8G8JDP,2025-06-13 17:06:27.324910,50.03,9.56,7.63,1.3,45,0.9819,0.1385
B0LVSNUJZ,2025-06-13 17:06:27.324910,13.47,3.62,2.03,0.98,45,0.9836,0.168
BA7TZ0YNC,2025-06-13 17:06:27.324910,33.27,6.85,4.86,2.55,45,1.0167,0.124
BXLL4ZKLO,2025-06-13 17:06:27.324910,39.56,10.99,11.72,2.88,45,0.9853,0.1549
BOKEP7Y6W,2025-06-13 17:06:27.324910,125.68,19.32,16.55,1.53,30,1.0079,0.151
BKTAKPUXQ,2025-06-13 17:06:27.324910,0.0,3.2,0.0,2.19,14,0.9804,0.1494
BXAJI0Y6D,2025-06-14 17:06:27.324910,44.34,8.51,7.43,2.3,45,0.9922,0.1739
BPBHSAHXT,2025-06-14 17:06:27.324910,117.81,18.05,11.53,2.18,45,0.9864,0.1301
BHV3A3ZMF,2025-06-14 17:06:27.324910,29.16,9.87,17.31,2.33,45,1.0158,0.1736
B8MDD4V30,2025-06-14 17:06:27.324910,44.1,6.28,6.11,2.0,45,1.0145,0.1223
BT9NT3W5U,2025-06-14 17:06:27.324910,67.86,13.44,7.78,1.65,30,0.9733,0.1741
BZBIKCIDK,2025-06-14 17:06:27.324910,80.75,15.29,31.33,1.12,45,0.9894,0.1651
BWNNHJ7XV,2025-06-14 17:06:27.324910,42.38,15.24,11.01,0.53,30,0.9655,0.1598
BG0FN9XUY,2025-06-14 17:06:27.324910,44.93,11.85,7.46,1.1,45,0.9873,0.1464
B41IBLJH7,2025-06-14 17:06:27.324910,52.5,16.52,9.66,0.85,30,1.0477,0.171
B5LXO6QJI,2025-06-14 17:06:27.324910,38.98,5.93,7.73,2.44,30,0.9903,0.1362
BUJV6OH9S,2025-06-14 17:06:27.324910,52.92,13.58,30.6,2.35,30,1.0159,0.1465
BDBDW2PCN,2025-06-14 17:06:27.324910,17.95,5.64,4.26,2.56,45,1.0022,0.1293
B9T84AZYT,2025-06-14 17:06:27.324910,41.6,8.94,7.68,2.86,14,0.9623,0.1232
BJXEPQ85J,2025-06-14 17:06:27.324910,32.36,9.95,10.41,2.48,14,0.9917,0.1444
BSG65KXVF,2025-06-14 17:06:27.324910,32.28,11.8,3.09,2.27,45,1.0149,0.1582
B1T2TALA7,2025-06-14 17:06:27.324910,56.7,12.11,16.65,1.11,30,0.9885,0.1298
B53LC58DR,2025-06-14 17:06:27.324910,82.8,17.89,20.32,1.49,14,1.0011,0.1645
BC11ERTJ5,2025-06-14 17:06:27.324910,64.2,20.39,27.15,1.05,14,0.9781,0.1758
BPHT0HL9X,2025-06-14 17:06:27.324910,25.75,6.06,3.43,1.87,45,0.975,0.1766
BPSEIMVIH,2025-06-14 17:06:27.324910,95.27,20.71,14.52,0.68,45,1.0027,0.148
BCWI64CIY,2025-06-14 17:06:27.324910,38.85,9.85,5.37,2.04,30,1.0083,0.1439
BHE7UR23G,2025-06-14 17:06:27.324910,106.92,15.0,10.79,1.93,45,1.0035,0.134
BDPPQ0Y9D,2025-06-14 17:06:27.324910,68.45,11.9,7.38,2.07,30,1.0165,0.1398
BOM5IGQPK,2025-06-14 17:06:27.324910,0.0,1.78,0.0,2.22,30,1.0252,0.1457
BI7P5TB94,2025-06-14 17:06:27.324910,66.02,11.44,6.33,2.13,45,1.0069,0.1291
B874FRHOC,2025-06-14 17:06:27.324910,66.1,11.25,7.63,2.93,30,1.0072,0.1432
BN9J2QP89,2025-06-14 17:06:27.324910,24.43,5.74,5.27,2.29,45,1.0043,0.1797
BUZFK8UT0,2025-06-14 17:06:27.324910,132.94,39.77,58.72,1.59,14,0.9871,0.1507
BCVS4F8CG,2025-06-14 17:06:27.324910,82.27,12.42,6.65,1.76,30,1.0087,0.1333
BVYIE6IVW,2025-06-14 17:06:27.324910,17.94,3.95,15.29,1.2,45,0.9954,0.166
BPVS7HZIO,2025-06-14 17:06:27.324910,51.6,11.23,18.75,3.0,14,0.9987,0.1609
BYKL1CQ99,2025-06-14 17:06:27.324910,0.0,5.0,0.0,0.59,45,1.0335,0.1442
BCHJ755NF,2025-06-14 17:06:27.324910,18.27,4.54,3.75,2.61,14,0.9973,0.18
B4ZW9XA3K,2025-06-14 17:06:27.324910,42.49,8.33,4.65,1.21,14,0.978,0.1551
BX7EEDTJV,2025-06-14 17:06:27.324910,15.08,5.7,4.79,1.19,45,1.0121,0.1348
BZHWJR64D,2025-06-14 17:06:27.324910,80.47,24.27,52.68,0.67,14,1.009,0.1772
BPJA1WJ0T,2025-06-14 17:06:27.324910,91.62,17.92,4.74,2.87,14,0.9646,0.1757
BPAC56T4U,2025-06-14 17:06:27.324910,176.05,47.13,20.29,2.3,45,0.9992,0.134
BFEL6246H,2025-06-14 17:06:27.324910,34.6,10.84,6.02,1.26,45,0.9901,0.1469
BID25OWF7,2025-06-14 17:06:27.324910,97.6,14.87,7.68,1.18,30,1.0053,0.1583
B5935A0L7,2025-06-14 17:06:27.324910,23.66,5.97,6.71,1.28,14,1.0216,0.1476
B253J2D54,2025-06-14 17:06:27.324910,146.3,26.01,25.06,1.55,45,0.9909,0.1591
BI3QK2IAG,2025-06-14 17:06:27.324910,52.21,8.7,6.52,2.19,14,0.9817,0.1342
BL58KXO9T,2025-06-14 17:06:27.324910,34.78,10.45,5.47,1.88,45,0.9818,0.1747
B7E8G8JDP,2025-06-14 17:06:27.324910,0.0,3.31,0.0,2.11,14,0.9827,0.1457
B0LVSNUJZ,2025-06-14 17:06:27.324910,0.0,3.72,0.0,2.49,14,1.0043,0.1284
BA7TZ0YNC,2025-06-14 17:06:27.324910,0.0,4.57,0.0,1.85,45,1.0014,0.1537
BXLL4ZKLO,2025-06-14 17:06:27.324910,154.62,22.79,14.02,2.49,45,0.9926,0.1506
BOKEP7Y6W,2025-06-14 17:06:27.324910,143.52,21.43,63.58,0.93,14,0.9811,0.1288
BKTAKPUXQ,2025-06-14 17:06:27.324910,0.0,2.48,0.0,1.62,30,1.0025,0.1452
BXAJI0Y6D,2025-06-15 17:06:27.324910,0.0,2.93,0.0,2.61,14,1.0342,0.1225
BPBHSAHXT,2025-06-15 17:06:27.324910,111.85,22.92,30.36,1.07,30,1.028,0.1302
BHV3A3ZMF,2025-06-15 17:06:27.324910,17.87,3.36,3.07,0.82,14,1.0178,0.1493
B8MDD4V30,2025-06-15 17:06:27.324910,0.0,5.95,0.0,2.22,45,1.0154,0.1648
BT9NT3W5U,2025-06-15 17:06:27.324910,77.66,12.58,13.37,2.96,45,0.9947,0.165
BZBIKCIDK,2025-06-15 17:06:27.324910,35.66,9.98,9.81,2.79,30,1.0095,0.1214
BWNNHJ7XV,2025-06-15 17:06:27.324910,41.52,7.93,7.75,1.43,45,0.9854,0.1425
BG0FN9XUY,2025-06-15 17:06:27.324910,90.76,17.46,4.05,1.15,14,1.0068,0.1449
B41IBLJH7,2025-06-15 17:06:27.324910,23.25,4.84,3.36,1.54,45,0.9695,0.1645
B5LXO6QJI,2025-06-15 17:06:27.324910,109.92,22.03,56.19,1.04,30,0.9933,0.1502
BUJV6OH9S,2025-06-15 17:06:27.324910,65.68,27.73,20.45,2.98,30,1.0063,0.1731
BDBDW2PCN,2025-06-15 17:06:27.324910,86.3,17.74,28.75,2.63,30,0.9797,0.149
B9T84AZYT,2025-06-15 17:06:27.324910,0.0,4.83,0.0,2.54,30,1.0059,0.1606
BJXEPQ85J,2025-06-15 17:06:27.324910,48.74,13.51,5.75,1.77,30,0.9972,0.134
BSG65KXVF,2025-06-15 17:06:27.324910,0.0,1.02,0.0,2.15,14,1.0246,0.1583
B1T2TALA7,2025-06-15 17:06:27.324910,105.16,21.74,22.28,0.6,45,1.0295,0.1623
B53LC58DR,2025-06-15 17:06:27.324910,36.8,7.66,9.99,2.81,45,1.0242,0.1594
BC11ERTJ5,2025-06-15 17:06:27.324910,25.42,6.86,4.68,2.69,14,0.977,0.1439
BPHT0HL9X,2025-06-15 17:06:27.324910,46.85,13.01,2.53,0.92,30,0.9876,0.1288
BPSEIMVIH,2025-06-15 17:06:27.324910,0.0,2.66,0.0,1.3,45,0.9856,0.1522
BCWI64CIY,2025-06-15 17:06:27.324910,69.79,12.21,20.46,2.27,45,1.0056,0.1332
BHE7UR23G,2025-06-15 17:06:27.324910,108.76,16.92,11.53,1.0,14,1.0299,0.1306
BDPPQ0Y9D,2025-06-15 17:06:27.324910,54.34,8.98,4.07,1.17,14,1.0324,0.1378
BOM5IGQPK,2025-06-15 17:06:27.324910,158.08,21.74,24.38,1.81,30,1.0109,0.15
BI7P5TB94,2025-06-15 17:06:27.324910,104.2,18.14,29.79,2.47,14,1.0222,0.1635
B874FRHOC,2025-06-15 17:06:27.324910,51.22,13.51,10.45,0.7,14,0.9654,0.1771
